Date,SPY US Equity,80,90,95,97.5,100,102.5,105,110,120,Dividends,USGG1M Index,Spot
2005-01-03,120.3,,,,,,,,,,0.01888246013042041,1.92873,120.3
2005-01-04,118.83,,,,,,,,,,0.019116047746272617,1.999769,118.83
2005-01-05,118.01,,,,,,,,,,0.01924887682136747,1.969173,118.01
2005-01-06,118.61,,,,,,,,,,0.019151504541687677,2.000317,118.61
2005-01-07,118.44,,,,,,,,,,0.019178993192245655,1.999988,118.44
2005-01-10,119.0,17.07231,17.0722,14.9675,13.6042,12.0881,11.7987,11.6277,11.2781,11.22488,0.019088739106635087,2.010043,119.0
2005-01-11,118.18,17.01988,17.0199,14.7659,13.4096,12.0032,11.7694,11.531,11.0386,11.0075,0.019221187626413734,1.989605,118.18
2005-01-12,118.57,16.75963,16.7596,14.5828,13.215,11.6881,11.4477,11.2219,10.7561,10.70319,0.019157965368049045,1.959011,118.57
2005-01-13,117.62,16.9705,16.9705,14.8827,13.5057,11.9714,11.592,11.3758,10.9305,10.854,0.019312701527712764,2.020655,117.62
2005-01-14,118.24,16.61069,16.6107,14.3914,12.9928,11.4243,11.144,10.873,10.3095,10.24588,0.01921143397910669,2.010043,118.24
2005-01-18,119.47,17.40831,17.4083,14.8918,13.2456,11.3634,11.0863,10.9141,10.5612,10.51263,0.01901364320490144,1.959011,119.47
2005-01-19,118.22,17.49313,17.4931,15.3925,13.9203,12.2727,11.7387,11.5718,11.2306,11.151,0.019214684094819617,1.877721,118.22
2005-01-20,117.5,18.268,18.268,15.8609,14.3134,12.577,12.1874,11.871,11.2113,11.12119,0.019332425137783618,1.847146,117.5
2005-01-21,116.78,18.65269,18.6527,16.2137,14.6233,12.8375,12.4481,12.187,11.6471,11.56531,0.019451618031251713,1.959327,116.78
2005-01-24,116.55,19.48031,19.4803,16.7394,15.0304,13.1434,12.8647,12.5797,11.9895,11.93488,0.019490003892660448,1.97955,116.55
2005-01-25,116.88,19.12369,19.1237,16.3599,14.5875,12.5677,12.2793,12.0256,11.5013,11.43963,0.019434975647583636,1.999769,116.88
2005-01-26,117.23,18.05438,18.0544,15.6067,13.9947,12.1711,11.759,11.4923,10.9393,10.85269,0.01937695089729229,2.050472,117.23
2005-01-27,117.43,18.16169,18.1617,15.4588,13.7377,11.7715,11.6016,11.4291,11.0762,11.03938,0.019343949192621775,2.132525,117.43
2005-01-28,117.43,18.19338,18.1934,15.5941,13.9076,11.9861,11.5627,11.2087,10.4648,10.36519,0.019343949192621775,2.081317,117.43
2005-01-31,118.16,17.12188,17.1219,14.8749,13.4048,11.7521,11.346,11.0616,10.4697,10.37769,0.019224441043412113,2.010043,118.16
2005-02-01,118.91,17.00937,17.0094,14.4479,12.8176,10.9587,10.6274,10.2854,9.5649,9.490125,0.019103186895043103,2.060751,118.91
2005-02-02,119.27,16.17413,16.1741,13.9972,12.5406,10.8908,10.3853,10.0428,9.3201,9.192313,0.019045526567364596,2.131778,119.27
2005-02-03,119.11,16.44031,16.4403,14.082,12.5809,10.8746,10.5969,10.3266,9.7634,9.7005,0.019071110349169466,2.17321,119.11
2005-02-04,120.23,15.27138,15.2714,13.1648,11.7878,10.2271,9.8163,9.4914,8.8057,8.703875,0.01889345382757694,2.18299,120.23
2005-02-07,120.07,15.90531,15.9053,13.791,12.4224,10.8829,10.475,10.1402,9.4351,9.333688,0.018918630413005542,2.243863,120.07
